frase,risco
dor no peito e aperto no peito há dois dias,alto risco
falta de ar e dificuldade para respirar durante a noite,alto risco
coração acelerado e palpitação frequente,alto risco
cansaço extremo e fraqueza constante na rotina,alto risco
pressão no peito e suor excessivo ao caminhar,alto risco
tontura e batimentos acelerados desde esta manhã,alto risco
falta de fôlego e respiração curta ao subir escadas,alto risco
desmaio e batimento irregular em repouso,alto risco
dor intensa no peito e dificuldade para respirar,alto risco
fadiga severa e aperto no peito no trabalho,alto risco
peito doendo e palpitação após esforço físico,alto risco
fraqueza constante e falta de ar ao deitar,alto risco
leve dor nas costas após esforço,baixo risco
desconforto muscular leve no fim do dia,baixo risco
dor muscular após atividade física,baixo risco
rigidez muscular ao acordar,baixo risco
incômodo leve nas costas sem falta de ar,baixo risco
pequeno desconforto no braço após carregar peso,baixo risco
dor leve e passageira na musculatura,baixo risco
cansaço leve após caminhada longa,baixo risco
tensão muscular nas costas ao levantar objetos,baixo risco
incômodo físico leve sem outros sintomas,baixo risco
rigidez nas costas depois de limpeza doméstica,baixo risco
desconforto leve muscular durante a rotina,baixo risco
